Name;Topic path;Topic
SA07CUX01 Preservativo;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
Hisopado > Chat por WhatsApp * Apertura;Salud [SA] / 02. Test COVID / 04. SA02CUX04 - Hisopado COVID-19 - Consulta y resultado; 04. SA02CUX04 - Hisopado COVID-19 - Consulta y resultado
TR04CUX32 Al instante;Trámites [TR] / 04. Estáticos Varios / 32. TR04CUX32 - Pasaporte; 32. TR04CUX32 - Pasaporte
SUA01CUX Cambiar mail;Solicitudes - Suaci [SUACI] / 01. Espacio público / SUACI Componentes Comunes; SUACI Componentes Comunes
CU11CUX03 Apertura;Cultura [CU] / 11. Promoción Cultural / 03. CU11CUX03 - Circuito de Espacios Culturales; 03. CU11CUX03 - Circuito de Espacios Culturales
EDU05CUX04 Apertura corta;Educación [EDU] / 05. Educación Superior / 04. EDU05CUX04 - Tecnicaturas de Salud; 04. EDU05CUX04 - Tecnicaturas de Salud
SUA01CUX03 Cargar foto 1;Solicitudes - Suaci [SUACI] / 01. Espacio público / 03. SUA01CUX03 - Poda de Árboles; 03. SUA01CUX03 - Poda de Árboles
Menú - Inspecciones Programadas;Trámites [TR] / 06. Inspecciones programadas / 01. TR06CUX01 - Inspecciones programadas / Inspecciones Programadas - Búsqueda; Inspecciones Programadas - Búsqueda
TUR01CUX11 Datos del aprendiz - Mail;Turnos [TUR] / 01. SIGECI / 11. TUR01CUX11 - Turno para práctica de auto en pista; 11. TUR01CUX11 - Turno para práctica de auto en pista
SUA01CUX27 Dónde ubicar la luminaria;Solicitudes - Suaci [SUACI] / 01. Espacio público / 27. SUA01CUX27 - Mayor luminaria; 27. SUA01CUX27 - Mayor luminaria
DH01CUX03 Pedido de datos - Apellido del beneficiario;Desarrollo humano [DH] / 01. Atención social / 02. TR02CUX02 - Rendición de Subsidio Habitacional 690; 02. TR02CUX02 - Rendición de Subsidio Habitacional 690
ED00CUX01 Recursos Docentes;Educación [EDU] / 00. Estructura completa / 01. ED00CUX01  Superapertura + Bifurcadores; 01. ED00CUX01  Superapertura + Bifurcadores
BOT02CUX11 Pregunta 3A;Boti [BOT] / 02. Cumpleaños / 11. BOT02CUX11 - Trivia 2025; 11. BOT02CUX11 - Trivia 2025
BOT03CUX01 Ya lo terminé;Boti [BOT] / 03. Tutorial - Cómo chatear / 01. BOT03CUX01 Tutorial - Cómo hablar con Boti; 01. BOT03CUX01 Tutorial - Cómo hablar con Boti
EP01CUX01 Apertura Corta;Espacio Público [EP] / 01. Ciudad Verde / 01. EP01CUX01 - BA Recicla; 01. EP01CUX01 - BA Recicla
TR03CUX22 Otorgamiento de permisos de venta de Alimentos en el Espacio Público;Trámites [TR] / 03. Match directo / 22. TR03CUX22 - Ordenamiento del Espacio Público; 22. TR03CUX22 - Ordenamiento del Espacio Público
DH08CUX02 Pregunta V2M2;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
miBA01CUX02  Sí, puedo;miBA [MIBA] / 01. Cuenta miBA / 02. MIBA01CUX02 - Blanqueo miBA; 02. MIBA01CUX02 - Blanqueo miBA
