Name;Topic path;Topic
MO03CUX01 Centro de Atención;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
CU00CUX01 Qué hay para hacer;Cultura [CU];Cultura [CU]
DE05CUX01 Otras clases;Deportes [DE] / 5. Clases al aire libre / 01. DE05CUX01 - Clases al aire libre; 01. DE05CUX01 - Clases al aire libre
EDU03CUX06 Cómo funciona;Educación [EDU] / 03. Docentes / 06. EDU03CUX06 - Escuela de Maestros; 06. EDU03CUX06 - Escuela de Maestros
AM03CUX05 Superapertura;Ambiente [AM] / 03. Ambiente / 05. AM03CUX05 - Superapertura Sustentabilidad; 05. AM03CUX05 - Superapertura Sustentabilidad
MO05CUX08 Camión - Nuevas categorías;Movilidad [MO] / 05. Licencias / 08. MO05CUX08 - Ampliación de licencias; 08. MO05CUX08 - Ampliación de licencias
SE02CUX02 Recomendaciones;Seguridad [SE] / 02. Ciberseguridad / 02. SE02CUX02 - Internet segura; 02. SE02CUX02 - Internet segura
MO06CUX03 Más de bicis en BA;Movilidad [MO] / 06. Bicicletas / 03.MO06CUX03 - Pedaleá con Boti; 03.MO06CUX03 - Pedaleá con Boti
MO05CUX08 Motovehículos - Dos ruedas;Movilidad [MO] / 05. Licencias / 08. MO05CUX08 - Ampliación de licencias; 08. MO05CUX08 - Ampliación de licencias
 DH08CUX02 Módulo 2;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
EDU04CUX29 Horarios;Educación [EDU] / 04. Educación Escolar / 29. EDU04CUX29 - Vacaciones en la escuela; 29. EDU04CUX29 - Vacaciones en la escuela
Infracciones - Apertura;Infracciones [IN] / 01. IN01CUX01 - Infracciones; 01. IN01CUX01 - Infracciones
TR04CUX32  Nuevo pasaporte > Qué necesito;Trámites [TR] / 04. Estáticos Varios / 32. TR04CUX32 - Pasaporte; 32. TR04CUX32 - Pasaporte
DE00CUX03 Escuelas deportivas;Deportes [DE] / 00. Deporte Adaptado; 00. Deporte Adaptado
DEC03CUX01 Apertura;Desarrollo Económico [DEC] / 03. Patrocinio BA / 01. DEC03CUXO1 - Patrocinio BA; 01. DEC03CUXO1 - Patrocinio BA
INN09CUX01 Qué necesito;Innovación [INN] / 09. Firma Digital / 01. INN09CUX01 Firma digital; 01. INN09CUX01 Firma digital
DH05CAT01 Sí dale;Derivaciones [DER] / Derivación / Derivacion a agente de Adicciones; Derivacion a agente de Adicciones
VI01CUX06 Apertura;Vivienda [VI] / 01. Instituto de la Vivienda (IVC) / 06. VI01CUX06 Refacción + Fácil; 06. VI01CUX06 Refacción + Fácil
TR01CUX20 Qué necesito;Trámites [TR] / 01. TAD / 20. TR01CUX20 - Subsanación de Faltas Documentales; 20. TR01CUX20 - Subsanación de Faltas Documentales
DH11CUX03 MTV4;Desarrollo humano [DH] / 11. Inclusión financiera / 03. DH11CUX03 Curso virtual de Identidad de Marca; 03. DH11CUX03 Curso virtual de Identidad de Marca
BOT06CUX01 Respuesta correcta 4;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
Tagear IA Off;0. Core del bot (No tocar);0. Core del bot (No tocar)
RC01CUX03 Fecundación asistida;Registro Civil [RC] / 01. Estáticos / 03. RC01CUX03 - Inscripción del Nacimiento; 03. RC01CUX03 - Inscripción del Nacimiento
CU13CUX01 Trámites culturales;Cultura [CU] / 13. Patrimonio de la Ciudad / 01. CU13CUX01 - Patrimonio de la Ciudad; 01. CU13CUX01 - Patrimonio de la Ciudad
MO05CUX08 No encontró categorías;Movilidad [MO] / 05. Licencias / 08. MO05CUX08 - Ampliación de licencias; 08. MO05CUX08 - Ampliación de licencias
DH11CUX07 Apertura;Desarrollo humano [DH] / 11. Inclusión financiera / 07. DH11CUX07 - Geolocalizacion virtual; 07. DH11CUX07 - Geolocalizacion virtual
TR03CUX26 Inscripciones de registro;Trámites [TR] / 03. Match directo / 26. TR03CUX26 - Ministerio de Economía y Finanzas; 26. TR03CUX26 - Ministerio de Economía y Finanzas
CXF01CUX03 P3 Pushes;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 03. CXF01CUX03 - Feedback Boti Pushes; 03. CXF01CUX03 - Feedback Boti Pushes
AM04CUX02 Voluntariado;Ambiente [AM] / 04. Reservas y espacios / 02. AM04CUX02 - Jardín Botánico; 02. AM04CUX02 - Jardín Botánico
TR03CUX25 Certificado de información catastral;Trámites [TR] / 03. Match directo / 25. TR03CUX25 - Ministerio de Desarrollo Urbano y Transporte - DGROC CATASTRO; 25. TR03CUX25 - Ministerio de Desarrollo Urbano y Transporte - DGROC CATASTRO
TR02CUX06 Privada / comprobante cuota;Trámites [TR] / 02. Integraciones STD / 06. TR02CUX06 - Presentación de Certificados Escolares para Estudiar es Trabajar - ; 06. TR02CUX06 - Presentación de Certificados Escolares para Estudiar es Trabajar - 
BOT02CUX08 Pregunta 2 Nivel 1;Boti [BOT] / 02. Cumpleaños / 08. BOT02CUX08 - Turisteando; 08. BOT02CUX08 - Turisteando
NI01CUX06 Principio;Niñez [NI] / 01. Boticuentos / 06. NI01CUX06 - Boticuentos 2023: Misión Obelisco; 06. NI01CUX06 - Boticuentos 2023: Misión Obelisco
TU01CAT01 Vuelta de derivación Inglés;Derivaciones [DER] / Derivación / Derivación a agente de Turismo; Derivación a agente de Turismo
AC04CUX01 Apertura 147;Atención Ciudadana [AC] / 04. 147 / 01. AC04CUX01 - Línea 147; 01. AC04CUX01 - Línea 147
TUR01CUX05 Rechaza excepción;Turnos [TUR] / 01. SIGECI / 05. TUR01CUX05 - Turno para renovación de licencia de conducir; 05. TUR01CUX05 - Turno para renovación de licencia de conducir
DE03CUX02 Apertura;Deportes [DE] / 03. Recreación / 02. Clubes de Barrio DE03CUX02; 02. Clubes de Barrio DE03CUX02
SA17CUX01 Establecimientos con turnos;Salud [SA] / 17. Turnos abiertos; 17. Turnos abiertos
EP02CUX02 Limpieza Vía Pública;Espacio Público [EP] / 02. Higiene / 02. EP02CUX2 - Higiene Urbana; 02. EP02CUX2 - Higiene Urbana
EDU02CUX010 Requisitos;Educación [EDU] / 02. Cursos y talleres / 10. EDU02CUX10 - Formación profesional; 10. EDU02CUX10 - Formación profesional
BOT02CUX11 Pregunta 1A;Boti [BOT] / 02. Cumpleaños / 11. BOT02CUX11 - Trivia 2025; 11. BOT02CUX11 - Trivia 2025
MO06CUX02 Apertura;Movilidad [MO] / 06. Bicicletas / 02. MO06CUX02 - Ecobici; 02. MO06CUX02 - Ecobici
SA10CUX01 Infancias;Salud [SA] / 10. Centros de salud / 01. SA10CUX01 - Hospitales; 01. SA10CUX01 - Hospitales
EM01CUX02 Apertura;Empleo [EM] / 01. Violencia laboral / EM01CUX02 - Violencia Laboral (DGNL); EM01CUX02 - Violencia Laboral (DGNL)
MO08CUX03 Peaje sin barreras;Movilidad [MO] / 08. Trámites varios / 03. MO08CUX03 - AUSA - Sacar TelePASE; 03. MO08CUX03 - AUSA - Sacar TelePASE
ED02CUX08 Quiero anotarme;Educación [EDU] / 02. Cursos y talleres / 08. EDU02CUX08 - Ciudad Bilingue; 08. EDU02CUX08 - Ciudad Bilingue
SUA01CUX12 Apertura;Solicitudes - Suaci [SUACI] / 01. Espacio público / 12. SUA01CUX12 - Irregularidades en marquesinas, toldos o anuncios; 12. SUA01CUX12 - Irregularidades en marquesinas, toldos o anuncios
CIU05CUX09 Espacios verdes Belgrano;Ciudad [CIU] / 05. Sobre la Ciudad / 09- CIU05CUX09 - Espacios verdes; 09- CIU05CUX09 - Espacios verdes
AM04CUX01 Restricciones;Ambiente [AM] / 04. Reservas y espacios / 01. AM04CUX01 - Ecoparque; 01. AM04CUX01 - Ecoparque
BA Empresas;Empleo [EM] / 04. Empresas / 01. EM04CUX01 - BA PyMES y BA Empresas; 01. EM04CUX01 - BA PyMES y BA Empresas
MO05CUX10 Usuario con trámite iniciado;Movilidad [MO] / 05. Licencias / 10. MO05CUX10 Duplicado de licencia; 10. MO05CUX10 Duplicado de licencia
CU01CUX02 Museo Ferroviario;Cultura [CU] / 01. Museos / 02. CU01CUX02 - Museos; 02. CU01CUX02 - Museos
"Flow fulfilled of ""Wsp""";;
SE02CUX01 Mensajes sospechosos;Seguridad [SE] / 02. Ciberseguridad / 01. SE02CUX01 - Ciberestafas; 01. SE02CUX01 - Ciberestafas
BOT03CUX01 Terminar tutorial;Boti [BOT] / 03. Tutorial - Cómo chatear / 01. BOT03CUX01 Tutorial - Cómo hablar con Boti; 01. BOT03CUX01 Tutorial - Cómo hablar con Boti
SUA01CUX23 Error de solicitud duplicada;Solicitudes - Suaci [SUACI] / 01. Espacio público / 23. SUA01CUX23 Desinfección vía publica; 23. SUA01CUX23 Desinfección vía publica
MO05CUX02 - Otros países;Movilidad [MO] / 05. Licencias / 02. MO05CUX02 - Licencias de conducir - 2023; 02. MO05CUX02 - Licencias de conducir - 2023
AC04CAT01 Instancia de espera 3 min;Derivaciones [DER] / Derivación / Derivación a agente de 147; Derivación a agente de 147
CU06CAT01 Pedido de datos - Nombre;Derivaciones [DER] / Derivación / Deriva a agente de Diversidad; Deriva a agente de Diversidad
