Name;Topic path;Topic
EDU05CUX05 Portugués;Educación [EDU] / 05. Educación Superior / 05. EDU05CUX05 - Traductorados; 05. EDU05CUX05 - Traductorados
Error | Buscar comunas;Ciudad [CIU] / 02. Comunas de la ciudad / 01. CIU02CUX01 - Comunas de la Ciudad; 01. CIU02CUX01 - Comunas de la Ciudad
TUR01CUX08 Corregir datos Menor;Turnos [TUR] / 01. SIGECI / 08. TUR01CUX08 - Turno para pasaporte; 08. TUR01CUX08 - Turno para pasaporte
DH11CUX08 Video 2 Pregunta 1;Desarrollo humano [DH] / 11. Inclusión financiera / 08. DH11CUX08 - Compras con impacto; 08. DH11CUX08 - Compras con impacto
CU04CUX01 Visitas grupales;"Cultura [CU] / 04. Festivales y ""Día de -Noche de"" / 01.CU04CUX01 - Feria del libro 2026"; 01.CU04CUX01 - Feria del libro 2026
BOT02CUX05 U1 Paso;Boti [BOT] / 02. Cumpleaños / 05. BOT02CUX05 - Botigrama; 05. BOT02CUX05 - Botigrama
DH04CUX05 No cierre;Desarrollo humano [DH] / 04. Fiscalizadores / 05. DH04CUX05 - Fiscalizadores de Residencias Geriátricas; 05. DH04CUX05 - Fiscalizadores de Residencias Geriátricas
EDU04CUX06 Me hacen bullying;Educación [EDU] / 04. Educación Escolar / 06. EDU04CUX06 - Bullying; 06. EDU04CUX06 - Bullying
MO10CUX03 Líneas;Movilidad [MO] / 10. Metrobus / 03. MO10CUX03 - Metrobus del Norte; 03. MO10CUX03 - Metrobus del Norte
SUA01CUX20 Pedido de barrio;Solicitudes - Suaci [SUACI] / 01. Espacio público / 20. SUA01CUX20 Electricidad y agua; 20. SUA01CUX20 Electricidad y agua
"TR03CUX06  Modificación: Adición al requisito ""Acreditación de Identidad"" en el trámite para certificado de discapacidad";Trámites [TR] / 03. Match directo / 06. TR03CUX06 - Ministerio de salud - Otros trámites; 06. TR03CUX06 - Ministerio de salud - Otros trámites
EDU04CUX06 Frase 4;Educación [EDU] / 04. Educación Escolar / 06. EDU04CUX06 - Bullying; 06. EDU04CUX06 - Bullying
BOT02CUX07 Teatro Correcto;Boti [BOT] / 02. Cumpleaños / 07. BOT02CUX07 - Atrapalabras; 07. BOT02CUX07 - Atrapalabras
Código postal - No pudo encontrarlo por domicilio;Ciudad [CIU] / 05. Sobre la Ciudad / 05. CIU05CUX05 Buscar Código Postal; 05. CIU05CUX05 Buscar Código Postal
BOT06CUX03 Final no ganador;Boti [BOT] / 06. Diversión / 03. BOT06CUX03 - Trivia Descubrir BA; 03. BOT06CUX03 - Trivia Descubrir BA
CU10CUX02 Tía Vicenta;Cultura [CU] / 10. Casco Histórico / 02. CU10CUX02 - Paseo de la historieta; 02. CU10CUX02 - Paseo de la historieta
IN01CUX02 - Scoring Apertura;Infracciones [IN] / 02. IN01CUX02 - Scoring; 02. IN01CUX02 - Scoring
TRA04CUX17 Hacer el trámite;Trámites [TR] / 04. Estáticos Varios / 17. TR04CUX17 - Ciudadanía Porteña; 17. TR04CUX17 - Ciudadanía Porteña
EM02CUX01 Superapertura empleo;Empleo [EM] / 02. Empleo en la Ciudad / 01. EM02CUX01 - Búsqueda de trabajo en la Ciudad; 01. EM02CUX01 - Búsqueda de trabajo en la Ciudad
MO05CUX09 Más info;Movilidad [MO] / 05. Licencias / 09. MO05CUX09 - Renovación por cambio de jurisdicción; 09. MO05CUX09 - Renovación por cambio de jurisdicción
