Name;Topic path;Topic
TR03CUX22 Permisos de usos - Puestos de diarios y revistas ;Trámites [TR] / 03. Match directo / 22. TR03CUX22 - Ordenamiento del Espacio Público; 22. TR03CUX22 - Ordenamiento del Espacio Público
SUA01CUX17 Error de servicio;Solicitudes - Suaci [SUACI] / 01. Espacio público / 17. SUA01CUX17 - Pintura sobre Graffiti; 17. SUA01CUX17 - Pintura sobre Graffiti
TR05CUX04 Nueva consulta;Trámites [TR] / 05. Estado de trámites / 4. TR05CUX04 Consulta de deudores morosos; 4. TR05CUX04 Consulta de deudores morosos
MO10CUX03 Apertura;Movilidad [MO] / 10. Metrobus / 03. MO10CUX03 - Metrobus del Norte; 03. MO10CUX03 - Metrobus del Norte
MO10CUX02 Combinaciones;Movilidad [MO] / 10. Metrobus / 02. MO10CUX02 - Metrobus del Bajo; 02. MO10CUX02 - Metrobus del Bajo
DEC05CUX01 Impacto acústico;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
 AM03CUX04 Energías renovables;Ambiente [AM] / 03. Ambiente / 04. AM03CUX04 - Ambiente; 04. AM03CUX04 - Ambiente
SUA01CUX26 Pedido de número de expediente;Solicitudes - Suaci [SUACI] / 01. Espacio público / 26. SUA01CUX26 - Exp de protección ambiental; 26. SUA01CUX26 - Exp de protección ambiental
CXF01CUX03 No sé Pushes;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 03. CXF01CUX03 - Feedback Boti Pushes; 03. CXF01CUX03 - Feedback Boti Pushes
MO05CUX02 Charla virtual V2;Movilidad [MO] / 05. Licencias / 02. MO05CUX02 - Licencias de conducir - 2023; 02. MO05CUX02 - Licencias de conducir - 2023
SA01CUX06  Apertura;Salud [SA] / 01. Vacunación COVID-19 / 06. SA01CUX06 - Vacunación COVID-19 💉; 06. SA01CUX06 - Vacunación COVID-19 💉
SUA01CUX00 Árboles;Solicitudes - Suaci [SUACI];Solicitudes - Suaci [SUACI]
RC01CUX03 Apertura;Registro Civil [RC] / 01. Estáticos / 03. RC01CUX03 - Inscripción del Nacimiento; 03. RC01CUX03 - Inscripción del Nacimiento
MO05CUX01 Error match DNI miBA;Movilidad [MO] / 05. Licencias / 01. MO05CUX01 LIC00CUX01 - Licencia prorroga; 01. MO05CUX01 LIC00CUX01 - Licencia prorroga
TR01CUX21 Apertura;Trámites [TR] / 01. TAD / 21. TR01CUX21 |Apertura TAD; 21. TR01CUX21 |Apertura TAD
TU01CUX01 Turismo accesible;Turismo [TU] / 01. Turismo BA / 01. TU01CUX01 - Turismo en BA; 01. TU01CUX01 - Turismo en BA
