Name;Topic path;Topic
CU01CUX01 Apertura corta;Cultura [CU] / 01. Museos / 01. CU01CUX01 Usina del Arte ; 01. CU01CUX01 Usina del Arte 
NI01CUX11 Una poción Hadas;Niñez [NI] / 01. Boticuentos / 11. NI01CUX11 - Estornudos bajo tierra; 11. NI01CUX11 - Estornudos bajo tierra
DEC05CUX01 Tengo un local;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
SA00CUX01 Otros temas de salud;Salud [SA];Salud [SA]
BOT01CUX01 Reconocer Emojis;Boti [BOT] / 01. Perfil / 01. BOT01CUX01 - Personalidad; 01. BOT01CUX01 - Personalidad
MO03CUX01 CUD e INCUCAI;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
Certificado de matrícula;Trámites [TR] / 04. Estáticos Varios / 43. TR04CUX43 - Certificado de matrícula; 43. TR04CUX43 - Certificado de matrícula
SA03CUX01 De 15 a 64 años;Salud [SA] / 03. Vacunación general / 01. SA03CUX01 - Vacunación; 01. SA03CUX01 - Vacunación
LIC00CUX01 Validaciones;Movilidad [MO] / 05. Licencias / 06. MO05CUX06 LIC00CUX01 - Otorgamiento de Licencias Exp unificada; 06. MO05CUX06 LIC00CUX01 - Otorgamiento de Licencias Exp unificada
TR01CUX11 Apertura;Trámites [TR] / 01. TAD / 11. TR01CUX11 - Registro Administradores de Consorcios - Presentación Anual DDJJ; 11. TR01CUX11 - Registro Administradores de Consorcios - Presentación Anual DDJJ
INN08CUX01 Apertura por webchat DEMO;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Demo subtopicos; 01. INN08CUX01 - Demo subtopicos
MO04CUX01 Hacer la VTV;Movilidad [MO] / 04. Transporte / 01. MO04CUX01 - VTV; 01. MO04CUX01 - VTV
RC01CUX01 Qué necesito;Registro Civil [RC] / 01. Estáticos / 01. RC01CUX01 - Constancia de último domicilio en DNI; 01. RC01CUX01 - Constancia de último domicilio en DNI
CIU07CUX01 Trámites GCBA;Ciudad [CIU] / 07. Buepp; 07. Buepp
EP01CUX01 Compostables;Espacio Público [EP] / 01. Ciudad Verde / 01. EP01CUX01 - BA Recicla; 01. EP01CUX01 - BA Recicla
SUA01CUX04 Denuncia Vial - No Más Reintentos;Solicitudes - Suaci [SUACI] / 01. Espacio público / 04. SUA01CUX04 - Auto mal estacionado; 04. SUA01CUX04 - Auto mal estacionado
